"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"HOXC9_547",1.8977,1.12398206463117,"C1","HOXC9",1.44198058672817
"NKX11_597",1.8972,1.18165866908824,"C1","NKX11",1.44198058672817
"HIVEP1_170",1.8764,1.09555490264911,"C1","HIVEP1",1.42483146388183
"NFKB2_714",1.8758,1.14208713904337,"C1","NFKB2",1.42483146388183
"HIVEP3_824",1.8764,1.09555490264911,"C1","HIVEP3",1.42483146388183
"LBX2_543",1.8667,1.17922154160338,"C1","LBX2",1.41734244121565
"NR3C2_685",1.8655,1.1390985611298,"C1","NR3C2",1.41734244121565
"ZFHX3_483",1.8584,1.16750531224976,"C1","ZFHX3",1.41164113640822
"ETV2_324",1.8509,1.11765014575859,"C1","ETV2",1.40553534139982
"KLF3_184",1.8131,1.08641208838385,"C1","KLF3",1.36912508492783
"HOXD8_537",1.804,1.09042221581625,"C1","HOXD8",1.3614103954546
"RFX6_729",1.7909,1.08514543009827,"C1","RFX6",1.34969130117098
"HOXB4_549",1.7885,1.13489239162205,"C1","HOXB4",1.34866782999979
"HOXA5_416",1.7734,1.12441585268153,"C1","HOXA5",1.33494000959913
"ETV6_335",1.7701,1.08458486541564,"C1","ETV6",1.33300786736581
"MYF6_30",1.7646,1.12300916015094,"C1","MYF6",1.32887143043856
"HOXD4_523",1.7499,1.11856846375857,"C1","HOXD4",1.31553072570129
"KLF1_179",1.7464,1.05737906130437,"C1","KLF1",1.31338577978625
"OTP_530",1.7335,1.16468404852435,"C1","OTP",1.30183661907721
"SOX13_761",1.7113,1.12166209849039,"C1","SOX13",1.28098326971248
"PBX1_555",1.6947,1.13964385939866,"C1","PBX1",1.26572575758799
"ZNF333_217",1.6868,1.16289869793424,"C1","ZNF333",1.26257664533136
"PRRX2_519",1.6849,1.15036320051791,"C1","PRRX2",1.26257664533136
"RAX2_533",1.6849,1.15036320051791,"C1","RAX2",1.26257664533136
"ISX_536",1.6849,1.15036320051791,"C1","ISX",1.26257664533136
"RFX8_730",1.6878,1.13123327675929,"C1","RFX8",1.26257664533136
"GFI1_220",1.68,1.09649460182612,"C1","GFI1",1.25899468725927
"MEOX1_396",1.6763,1.15621361908054,"C1","MEOX1",1.2566087411571
"PPARD_664",1.6681,1.08975568387123,"C1","PPARD",1.24971883108542
"HSF2_623",1.6497,1.10330024021317,"C1","HSF2",1.2326249808877
"HLTF_802",1.6448,1.08673657401884,"C1","HLTF",1.22902721419295
"OVOL1_246",1.634,1.13633257355003,"C1","OVOL1",1.21952555441823
"VSX1_408",1.6193,1.15873709096754,"C1","VSX1",1.20741064825272
"ISL2_496",1.6194,1.14077715701001,"C1","ISL2",1.20741064825272
"PRRX1_440",1.6068,1.15378330955615,"C1","PRRX1",1.19748044558446
"SHOX_556",1.6068,1.15378330955615,"C1","SHOX",1.19748044558446
"RFX4_725",1.6046,1.13894637845011,"C1","RFX4",1.19655966442364
"ZBTB47_188",1.5947,1.11675255536344,"C1","ZBTB47",1.19047486742415
"ZNF652_278",1.5947,1.11675255536344,"C1","ZNF652",1.19047486742415
"NKX26_544",1.5963,1.12128673029022,"C1","NKX26",1.19047486742415
"DMRT1_305",1.5835,1.12118755899384,"C1","DMRT1",1.18053918995291
"VDR_663",1.5656,1.119512725048,"C1","VDR",1.16389984245466
"HOMEZ_568",1.5607,1.15723037640547,"C1","HOMEZ",1.16025684617416
"NKX23_443",1.5478,1.12182770907649,"C1","NKX23",1.14861022217226
"POU4F1_616",1.539,1.07964627261205,"C1","POU4F1",1.14105999132796
"HLF_112",1.5114,1.12862500777927,"C1","HLF",1.11470617434056
"HOXA11_395",1.4958,1.13937367614709,"C1","HOXA11",1.10617254721861
"ENSG00000215754_570",1.4682,1.09527144436105,"C1","ENSG00000215754",1.10617254721861
"ENSG00000217642_571",1.4682,1.09527144436105,"C1","ENSG00000217642",1.10617254721861
"ENSG00000224558_572",1.4682,1.09527144436105,"C1","ENSG00000224558",1.10617254721861
"ENSG00000225958_574",1.4682,1.09527144436105,"C1","ENSG00000225958",1.10617254721861
"ENSG00000226866_576",1.4682,1.09527144436105,"C1","ENSG00000226866",1.10617254721861
"DUX4L5_578",1.4682,1.09527144436105,"C1","DUX4L5",1.10617254721861
"ENSG00000227522_579",1.4682,1.09527144436105,"C1","ENSG00000227522",1.10617254721861
"DUX4L2_580",1.4682,1.09527144436105,"C1","DUX4L2",1.10617254721861
"DUX4L3_581",1.4682,1.09527144436105,"C1","DUX4L3",1.10617254721861
"DUX4L6_582",1.4682,1.09527144436105,"C1","DUX4L6",1.10617254721861
"ENSG00000228710_583",1.4682,1.09527144436105,"C1","ENSG00000228710",1.10617254721861
"CT4768282_585",1.4682,1.09527144436105,"C1","CT4768282",1.10617254721861
"ENSG00000230380_586",1.4682,1.09527144436105,"C1","ENSG00000230380",1.10617254721861
"ENSG00000230776_587",1.4682,1.09527144436105,"C1","ENSG00000230776",1.10617254721861
"AL5921702_588",1.4682,1.09527144436105,"C1","AL5921702",1.10617254721861
"ENSG00000232923_590",1.4682,1.09527144436105,"C1","ENSG00000232923",1.10617254721861
"ENSG00000233294_591",1.4682,1.09527144436105,"C1","ENSG00000233294",1.10617254721861
"ENSG00000233361_592",1.4682,1.09527144436105,"C1","ENSG00000233361",1.10617254721861
"ENSG00000233698_593",1.4682,1.09527144436105,"C1","ENSG00000233698",1.10617254721861
