,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
400,cMono,MYBL2,4.1293126607220134e-83,8.113870818577388e-83,-0.0010686324524428054,0.0024183948580535,0.7543458142961972
401,cMono,MYC,5.377373029136553e-92,1.1783749539157261e-91,-0.00040450903134936836,-0.0150313288900451,0.0094061562421965
402,cMono,MYCN,2.9575187603350967e-13,3.4727204848477154e-13,6.819327479392484e-05,-0.0009138654503479,0.9170912152906466
403,cMono,MYF5,1.922925893100486e-74,3.447670161872083e-74,-0.0012184269410987214,0.0,0.0
404,cMono,MYF6,2.7244530627633963e-47,3.868723349124023e-47,-0.001132299190992484,0.0,0.0
405,cMono,MYNN,2.183972717955117e-124,8.67884680829179e-124,-0.0012402678810585488,0.0111734952974519,0.0631166976638545
406,cMono,MYOD1,2.8524968707053963e-46,4.018398369446094e-46,-0.00099844905765889,0.0,0.0
407,cMono,MYOG,8.124399310594558e-101,2.0503519587163992e-100,-0.0010923767810327662,0.0,0.0
408,cMono,MYPOP,2.1868080776754925e-156,1.75109067874015e-155,0.002269211968639731,0.0050470799221376,0.4714628134096657
409,cMono,MYRF,3.9244370463246465e-94,8.893383705736837e-94,-0.0011636791007987313,0.0018499950349909,0.8245348294173738
410,cMono,MYT1L,3.6854628804937116e-177,4.220449427662154e-176,-0.0007499192746712284,0.0052952626039967,0.4489123555034511
411,cMono,MZF1,5.875822929405956e-09,6.628973961670915e-09,-2.8255390145615067e-05,-0.0183127577219407,0.0012214108993376
412,cMono,NAIF1,1.87891935481104e-144,1.1702041595752967e-143,0.0006688962552523631,0.0104978678138167,0.0843171399891824
413,cMono,NANOG,6.13794584279651e-75,1.102346091497181e-74,-0.00032462023311628525,-0.0014858954939472,0.8643021516683491
414,cMono,NEUROD1,8.492172963991676e-167,8.147895681667689e-166,0.0006014630793285012,0.0051660167178982,0.459965503686165
415,cMono,NEUROD2,1.0892081056348889e-23,1.348844921512973e-23,-7.456297276735302e-05,-0.001495772824865,0.8643021516683491
416,cMono,NEUROG1,1.113019944857664e-132,5.1314555899281915e-132,0.0011548404453209649,0.0,0.0
417,cMono,NEUROG2,5.66565359899354e-162,4.94583695321977e-161,0.0005203004272005991,0.0,0.0
418,cMono,NEUROG3,7.367780682799645e-66,1.2241320479222498e-65,0.0005160421360698077,0.0,0.0
419,cMono,NFAT5,2.840117773524424e-105,7.836076240423605e-105,-0.00027444892752840483,0.0322431253822741,2.752538081262645e-09
420,cMono,NFATC1,2.416980029108667e-69,4.1383982813516567e-69,-0.0004517662059446703,0.0014600912046749,0.8659380428536532
421,cMono,NFATC2,8.034633357633474e-186,1.0696105657349562e-184,-0.0014124249236014408,0.1107346222900114,1.0904986583112668e-100
422,cMono,NFATC3,4.020077156503767e-223,1.1571303166693275e-221,-0.0006716421873135987,0.0417173156272416,6.453564212353646e-15
423,cMono,NFATC4,1.5228343369963018e-131,6.785851752724107e-131,-0.0008809747084780623,0.0,0.0
424,cMono,NFE2,1.4585431424996511e-170,1.4517275203384378e-169,0.021952846728145847,0.1270031462843425,1.6800985697358342e-132
425,cMono,NFE2L1,5.345093934278299e-184,6.942103707324864e-183,0.0160791704711874,0.0114005089912968,0.0570291444802135
426,cMono,NFE2L2,5.952344056716937e-176,6.6473040540377e-175,0.01705795846120417,-0.0101948207406275,0.0946379131191002
